Surface,NbrPieces,NbrChambres,NbrSdb,Prix,DPE_A,DPE_B,DPE_C,DPE_D,DPE_E,DPE_F,DPE_Vierge,Type_Appartement,Type_Maison,latitude,longitude
30.0,1.0,1.0,1.0,134500,False,False,False,False,True,False,False,True,False,48.998365533,1.69406992
122.0,5.0,3.0,1.0,270000,False,False,False,True,False,False,False,False,True,48.661219416,2.264997188
121.0,5.0,3.0,1.0,455000,False,False,False,True,False,False,False,False,True,48.745502894,2.489056972
118.0,6.0,3.0,2.0,385000,False,False,False,True,False,False,False,False,True,48.656609978,2.351201849
28.0,2.0,1.0,1.3279569892473118,165300,False,False,False,True,False,False,False,True,False,,
19.0,1.0,1.0,1.3279569892473118,212000,False,False,False,False,False,True,False,True,False,,
90.0,4.0,3.0,1.0,275000,False,False,True,False,False,False,False,True,False,48.862764338,2.539943497
77.0,3.0,2.0,1.0,500000,False,False,False,False,False,True,False,True,False,48.906873428,2.245228942
161.0,7.0,5.0,2.0,529000,False,False,False,True,False,False,False,False,True,48.558579656,2.438037857
125.0,6.0,4.0,1.0,595000,False,False,False,False,True,False,False,False,True,48.939819605,2.17448669
31.0,2.0,1.0,1.3279569892473118,393400,False,False,False,False,False,False,True,True,False,,
40.0,2.0,1.0,1.3279569892473118,550000,False,False,False,False,False,False,True,True,False,,
101.0,4.0,3.0,1.0,230000,False,False,False,True,False,False,False,True,False,48.645608238,2.40818892
169.0,9.0,5.0,1.0,268000,False,False,True,False,False,False,False,False,True,,
64.0,3.0,2.0,1.0,170000,False,False,False,False,False,False,True,True,False,48.956644571,2.384861241
20.0,1.0,1.0,1.0,195000,False,False,False,False,False,True,False,True,False,,
44.0,1.0,1.0,1.0,233000,False,False,False,True,False,False,False,True,False,,
50.0,2.0,1.0,1.3279569892473118,420000,False,False,False,False,True,False,False,True,False,,
120.0,7.0,5.0,1.0,489000,False,False,False,True,False,False,False,False,True,,
93.0,4.0,3.0,1.0,309000,False,False,False,False,False,False,True,False,True,48.942941014,2.675081572
93.0,4.0,3.0,1.0,309000,False,False,False,False,False,False,True,False,True,48.942941014,2.675081572
143.0,6.0,5.0,1.3279569892473118,320000,False,False,False,True,False,False,False,False,True,49.011064768,1.888263613
60.0,3.0,2.0,1.0,285000,False,False,False,False,False,False,True,False,True,48.991738548,2.320739048
70.0,3.0,2.0,1.0,160000,False,False,False,False,True,False,False,True,False,48.951531886,2.240388744
52.0,2.0,1.0,1.0,140000,False,False,False,False,False,False,True,True,False,,
138.0,5.0,3.0,1.0,220000,False,False,True,False,False,False,False,False,True,48.540826838,3.073142083
93.0,5.0,4.0,1.0,239000,False,False,True,False,False,False,False,False,True,48.603961987,2.46946055
83.0,5.0,4.0,1.3279569892473118,385000,False,False,False,False,True,False,False,False,True,47.159545854,2.715653954
83.0,5.0,4.0,1.3279569892473118,385000,False,False,False,False,True,False,False,False,True,48.882946657,3.950129112
83.0,5.0,4.0,1.3279569892473118,385000,False,False,False,False,True,False,False,False,True,48.492422234,2.179876174
71.0,3.0,2.0,1.0,575000,False,False,True,False,False,False,False,True,False,,
57.0,3.0,2.0,1.0,329000,False,False,False,False,False,False,True,True,False,48.869374523,2.17771477
57.0,3.0,2.0,1.0,329000,False,False,False,False,False,False,True,True,False,48.869374523,2.17771477
1.0,3.0,2.0,1.3279569892473118,100000,False,False,False,False,False,False,True,True,False,,
60.0,2.0,1.0,1.3279569892473118,689000,False,False,False,True,False,False,False,True,False,48.885661807,2.266596324
56.0,3.0,2.0,1.0,230000,False,False,False,False,True,False,False,True,False,,
26.0,1.0,2.5,1.0,129900,False,False,False,False,True,False,False,True,False,48.902243865,2.484137001
75.0,3.0,2.0,1.0,475000,False,False,False,True,False,False,False,True,False,,
82.0,3.0,2.0,1.0,168000,False,False,True,False,False,False,False,True,False,,
85.0,5.0,3.0,1.0,370000,False,False,False,False,False,False,True,True,False,,
180.0,6.0,5.0,1.3279569892473118,525000,False,False,False,True,False,False,False,False,True,48.836247784,2.564607121
90.0,4.0,3.0,1.0,700000,False,False,False,False,True,False,False,True,False,48.836400822,2.239066161
13.0,1.0,1.0,1.3279569892473118,149000,False,False,False,False,True,False,False,True,False,,
16.0,1.0,1.0,1.3279569892473118,80000,False,False,False,False,True,False,False,True,False,48.695926703,2.235331474
30.0,1.0,1.0,1.0,270000,False,False,False,False,False,False,True,True,False,,
67.0,3.0,1.0,1.0,650000,False,False,False,False,False,False,True,True,False,48.819648936,2.470749433
13.0,1.0,1.0,1.3279569892473118,149000,False,False,False,True,False,False,False,True,False,,
101.0,6.0,4.0,1.3279569892473118,379000,False,False,False,True,False,False,False,False,True,49.128484415,2.435953796
84.0,5.0,3.0,1.3279569892473118,165000,False,False,True,False,False,False,False,True,False,48.989294485,1.91391108
68.0,3.0,2.0,1.0,237900,False,False,False,False,True,False,False,True,False,48.87491844,2.48590027
74.0,4.0,3.0,1.3279569892473118,199900,False,False,False,True,False,False,False,True,False,48.689811714,2.30290407
74.0,4.0,3.0,1.3279569892473118,199900,False,False,False,True,False,False,False,True,False,48.689811714,2.30290407
150.0,7.0,5.0,1.0,1320000,False,False,True,False,False,False,False,False,True,,
38.0,2.0,1.0,1.0,220000,False,False,False,False,False,False,True,True,False,48.922750857,2.247051842
46.0,2.0,1.0,1.3279569892473118,259000,False,True,False,False,False,False,False,True,False,48.783876041,2.19738706
72.0,3.0,2.0,1.0,143000,False,False,False,True,False,False,False,True,False,48.645608238,2.40818892
18.0,1.0,2.5,1.3279569892473118,155000,False,False,False,False,True,False,False,True,False,,
79.0,4.0,2.0,1.0,292000,False,False,False,True,False,False,False,True,False,48.785828066,2.539660672
40.0,2.0,1.0,1.0,249000,False,False,False,False,False,False,True,True,False,48.87491844,2.48590027
120.0,5.0,4.0,1.0,151000,False,False,False,False,True,False,False,False,True,48.478498645,3.117973352
